City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,14.17,83,95,17.03,SH,1721759316
1,samfya,-11.3649,29.5565,20.97,26,0,4.94,ZM,1721759317
2,san antonio de pale,-1.4014,5.6325,22.99,85,44,4.61,GQ,1721759319
3,la ronge,55.1001,-105.2842,21.14,56,40,7.72,CA,1721759320
4,papatowai,-46.5619,169.4708,8.38,72,62,4.44,NZ,1721759321
5,marang,5.2056,103.2059,27.95,88,95,1.01,MY,1721759322
6,port-aux-francais,-49.35,70.2167,1.18,93,100,13.48,TF,1721759323
7,arvayheer,46.2639,102.775,12.8,77,92,3.61,MN,1721759325
8,invercargill,-46.4,168.35,4.45,88,80,1.34,NZ,1721759326
9,tutoia,-2.7619,-42.2744,28.72,60,41,4.75,BR,1721759328
10,al jubayl,27.0112,49.6583,35.22,43,22,1.3,SA,1721759329
11,susuman,62.7833,148.1667,16.54,78,100,0.78,RU,1721759330
12,grytviken,-54.2811,-36.5092,-2.48,85,29,4.47,GS,1721759332
13,varadero,23.1536,-81.2514,32.42,73,46,7.16,CU,1721759315
14,tiksi,71.6872,128.8694,5.47,80,99,1.88,RU,1721759334
15,keflavik,64.0049,-22.5624,11.95,100,100,8.23,IS,1721759335
16,blackmans bay,-43.0167,147.3167,10.07,73,100,3.53,AU,1721759336
17,hermanus,-34.4187,19.2345,12.67,78,97,4.94,ZA,1721759338
18,puerto natales,-51.7236,-72.4875,11.25,46,75,19.03,CL,1721759339
19,banda aceh,5.5577,95.3222,27.64,76,100,5.6,ID,1721759340
20,puerto ayora,-0.7393,-90.3518,25.98,81,98,5.42,EC,1721759341
21,vorgashor,67.5833,63.95,10.13,69,82,3.5,RU,1721759342
22,tibanbang,6.6315,126.1055,27.56,79,85,0.81,PH,1721759343
23,whakatane,-37.9585,176.9854,2.71,99,20,2.25,NZ,1721759345
24,longyearbyen,78.2186,15.6401,9.91,87,40,4.63,SJ,1721759346
25,punta arenas,-53.15,-70.9167,10.01,71,40,15.43,CL,1721759055
26,margaret river,-33.95,115.0667,12.18,66,93,6.09,AU,1721759348
27,waitangi,-43.9535,-176.5597,8.79,99,100,6.26,NZ,1721759349
28,hithadhoo,-0.6,73.0833,29.2,74,79,4.57,MV,1721759351
29,colonia,50.9333,6.95,22.13,70,75,6.69,DE,1721759180
30,talnakh,69.4865,88.3972,13.19,56,100,1.96,RU,1721759353
31,xinmin,41.9908,122.8253,21.75,96,69,2.15,CN,1721759354
32,fort st. john,56.2499,-120.8529,13.94,62,75,8.23,CA,1721759355
33,tallkayf,36.4894,43.1192,39.48,11,0,4.95,IQ,1721759357
34,port mathurin,-19.6833,63.4167,23.06,64,9,6.71,MU,1721759358
35,thompson,55.7435,-97.8558,21.09,43,20,2.06,CA,1721759359
36,bethel,41.3712,-73.414,24.45,87,100,3.09,US,1721759360
37,sitka,57.0531,-135.33,13.94,88,100,1.54,US,1721759361
38,chimore,-16.9833,-65.1333,32.47,33,2,1.96,BO,1721759363
39,adamstown,-25.066,-130.1015,18.95,65,86,11.13,PN,1721759364
40,ribeira grande,38.5167,-28.7,25.99,69,40,4.92,PT,1721759365
41,remire-montjoly,4.9167,-52.2667,32.02,58,17,8.23,GF,1721759366
42,ust-nera,64.5667,143.2,16.16,88,97,1.23,RU,1721759368
43,qaqortoq,60.7167,-46.0333,6.18,92,100,1.43,GL,1721759354
44,ilulissat,69.2167,-51.1,7.01,87,40,2.06,GL,1721759110
45,zaraza,9.3503,-65.3245,25.86,94,100,1.84,VE,1721759371
46,soverato marina,38.685,16.5499,28.42,62,0,5.41,IT,1721759372
47,port elizabeth,-33.918,25.5701,16.16,91,20,7.72,ZA,1721759333
48,rongelap,11.1635,166.8941,28.0,79,35,6.26,MH,1721759375
49,college,64.8569,-147.8028,23.98,61,40,1.54,US,1721759376
50,mitchell,43.7094,-98.0298,29.53,57,0,1.79,US,1721759318
51,iqaluit,63.7506,-68.5145,17.85,48,75,6.17,CA,1721759361
52,poshekhon'ye,58.4993,39.1353,16.54,69,3,1.25,RU,1721759381
53,egilsstadir,65.2653,-14.3948,15.95,48,0,6.17,IS,1721759382
54,kenai,60.5544,-151.2583,13.97,94,100,2.06,US,1721759383
55,misratah,32.3754,15.0925,27.3,66,0,7.17,LY,1721759384
56,stanley,54.868,-1.6985,16.96,75,20,3.09,GB,1721759385
57,ghanzi,-21.5667,21.7833,19.02,13,0,3.6,BW,1721759386
58,potosi,-19.5836,-65.7531,15.48,27,75,6.17,BO,1721759388
59,puerto armuelles,8.2833,-82.8667,29.99,75,100,3.27,PA,1721759389
60,novodvinsk,64.4165,40.8122,18.86,55,20,2.48,RU,1721759390
61,tolanaro,-25.0319,46.9987,19.04,94,75,1.03,MG,1721759392
62,jamestown,42.097,-79.2353,26.96,64,75,2.57,US,1721759244
63,avarua,-21.2078,-159.775,21.03,88,75,1.54,CK,1721759395
64,ushuaia,-54.8,-68.3,9.81,62,40,1.03,AR,1721759396
65,"laikit, laikit ii (dimembe)",1.4792,124.9735,24.47,83,40,2.57,ID,1721759397
